balanced_accuracy,pr_auc,brier_score,expected_cost,threshold,tn,fp,fn,tp,model,outer_split,parameters
0.5431547619047619,0.37801324868100394,0.2712020026725723,0.75625,0.41000000000000003,26,86,7,41,fuzzy,7,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,8,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,8,{}
0.6741071428571428,0.6323715247653143,0.19106461929428403,0.60625,0.38,60,52,9,39,logistic,8,"{""model__class_weight"": ""balanced"", ""model__C"": ""0.1""}"
0.6666666666666667,0.5762499660222787,0.17589190121564124,0.55,0.18000000000000002,49,63,5,43,svm,8,"{""estimator__model__gamma"": ""scale"", ""estimator__model__class_weight"": ""None"", ""estimator__model__C"": ""2.1544346900318834""}"
0.6607142857142857,0.6528217439584383,0.16499174996604243,0.525,0.12,43,69,3,45,mlp,8,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(32,)"", ""model__alpha"": ""0.01""}"
0.59375,0.5669781017749621,0.24134429245453232,0.61875,0.4,28,84,3,45,fuzzy,8,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,9,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,9,{}
0.6904761904761905,0.5954761176182523,0.17628783731769293,0.55,0.19,59,53,7,41,logistic,9,"{""model__class_weight"": ""None"", ""model__C"": ""1.0""}"
0.6949404761904762,0.634547627410701,0.16680126363926356,0.54375,0.21000000000000002,60,52,7,41,svm,9,"{""estimator__model__gamma"": ""scale"", ""estimator__model__class_weight"": ""balanced"", ""estimator__model__C"": ""0.46415888336127786""}"
0.6994047619047619,0.6092802481500611,0.17073429610076626,0.5375,0.21000000000000002,61,51,7,41,mlp,9,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(16,)"", ""model__alpha"": ""0.01""}"
0.6130952380952381,0.5699607273560205,0.23630667015284015,0.575,0.4,30,82,2,46,fuzzy,9,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,10,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,10,{}
0.6607142857142857,0.6246175813305662,0.1558315097999048,0.525,0.15000000000000002,43,69,3,45,logistic,10,"{""model__class_weight"": ""None"", ""model__C"": ""0.1""}"
0.6517857142857143,0.6179820349596928,0.15770038421017835,0.5375,0.16,41,71,3,45,svm,10,"{""estimator__model__gamma"": ""0.001"", ""estimator__model__class_weight"": ""balanced"", ""estimator__model__C"": ""10.0""}"
0.7083333333333333,0.5539099468172112,0.1665849698272322,0.475,0.13,56,56,4,44,mlp,10,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(32, 16)"", ""model__alpha"": ""0.0001""}"
0.5922619047619048,0.5009214905960092,0.25027905447909155,0.6375,0.4,30,82,4,44,fuzzy,10,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,11,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,11,{}
0.5952380952380952,0.6098131299382034,0.1892843153269889,0.6,0.12,26,86,2,46,logistic,11,"{""model__class_weight"": ""balanced"", ""model__C"": ""0.31622776601683794""}"
0.7098214285714286,0.5970802249590121,0.1669510204608487,0.55625,0.22,68,44,9,39,svm,11,"{""estimator__model__gamma"": ""scale"", ""estimator__model__class_weight"": ""balanced"", ""estimator__model__C"": ""0.46415888336127786""}"
0.6889880952380952,0.5736550495536181,0.19268072059574118,0.61875,0.14,68,44,11,37,mlp,11,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(32, 16)"", ""model__alpha"": ""0.001""}"
0.6071428571428571,0.5906705540618753,0.2418818864689399,0.55,0.4,24,88,0,48,fuzzy,11,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,12,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,12,{}
0.6636904761904762,0.5824232117759218,0.16817136214221684,0.6375,0.23,60,52,10,38,logistic,12,"{""model__class_weight"": ""None"", ""model__C"": ""0.1""}"
0.7098214285714286,0.5491651169076452,0.17730054633997885,0.50625,0.21000000000000002,61,51,6,42,svm,12,"{""estimator__model__gamma"": ""0.05"", ""estimator__model__class_weight"": ""balanced"", ""estimator__model__C"": ""0.21544346900318834""}"
0.6130952380952381,0.5557788325287096,0.18275440092584208,0.575,0.2,30,82,2,46,mlp,12,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(16,)"", ""model__alpha"": ""0.0001""}"
0.5654761904761905,0.4201971825179497,0.2672673812051687,0.775,0.42000000000000004,38,74,10,38,fuzzy,12,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,13,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,13,{}
0.6607142857142857,0.6069335031446604,0.16782577399937013,0.575,0.19,50,62,6,42,logistic,13,"{""model__class_weight"": ""None"", ""model__C"": ""0.1""}"
0.6770833333333333,0.5940190569957484,0.16990561170097762,0.46875,0.15000000000000002,42,70,1,47,svm,13,"{""estimator__model__gamma"": ""0.01"", ""estimator__model__class_weight"": ""balanced"", ""estimator__model__C"": ""0.46415888336127786""}"
0.6383928571428572,0.5748980706269908,0.17768037569853018,0.65625,0.24000000000000002,52,60,9,39,mlp,13,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(16,)"", ""model__alpha"": ""0.001""}"
0.5788690476190476,0.47901948681324036,0.25985323300605867,0.65625,0.4,27,85,4,44,fuzzy,13,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,14,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,14,{}
0.6934523809523809,0.5692751685962263,0.17891472161731412,0.6625,0.22,76,36,14,34,logistic,14,"{""model__class_weight"": ""None"", ""model__C"": ""0.31622776601683794""}"
0.6413690476190476,0.5602205943900052,0.18278984581227423,0.61875,0.16,48,64,7,41,svm,14,"{""estimator__model__gamma"": ""0.01"", ""estimator__model__class_weight"": ""None"", ""estimator__model__C"": ""4.6415888336127775""}"
0.6592261904761905,0.5614428797786819,0.1860286102963122,0.64375,0.11,59,53,10,38,mlp,14,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(32, 16)"", ""model__alpha"": ""0.0001""}"
0.6220238095238095,0.45957545509368564,0.24037682149238665,0.6125,0.4,39,73,5,43,fuzzy,14,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,15,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,15,{}
0.6502976190476191,0.6706535006303658,0.18229071991462803,0.55625,0.32,43,69,4,44,logistic,15,"{""model__class_weight"": ""balanced"", ""model__C"": ""0.1""}"
0.6369047619047619,0.6728141103392209,0.15577887236123575,0.575,0.19,40,72,4,44,svm,15,"{""estimator__model__gamma"": ""0.001"", ""estimator__model__class_weight"": ""None"", ""estimator__model__C"": ""21.54434690031882""}"
0.6101190476190476,0.7129475615191738,0.15157640565210984,0.5625,0.13,27,85,1,47,mlp,15,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(16,)"", ""model__alpha"": ""0.0001""}"
0.5967261904761905,0.6234266960818267,0.23958308170359127,0.58125,0.4,24,88,1,47,fuzzy,15,{}
